country,country_name,level,year,Energy absorbed by pumping,Energy supplied,Exports,Imports,Total net production
NL,Netherlands,Total,2017,0.0,116971.24599999998,18951.503,22457.715,94513.53099999999
NL,Netherlands,Total,2018,0.0,118412.37099999998,18157.0,24018.0,94394.37099999998
NO,Norway,Total,2016,1427.0,131229.0,22151.0,5740.0,125489.0
NO,Norway,Total,2017,1653.0,131824.0,21276.0,6111.0,125713.0
NO,Norway,Total,2018,1021.492,135674.50799999997,18488.911,8339.724,127334.78399999997
PL,Poland,Total,2016,744.0,153258.0,12018.0,14017.0,139241.0
PL,Poland,Total,2017,734.88,156421.464,10984.0,13271.0,143150.464
PL,Poland,Total,2018,660.599,159130.40299999996,8121.301000000001,13815.803,145314.59999999998
PT,Portugal,Total,2016,1520.0,52257.052,9701.0,4616.0,47641.052
PT,Portugal,Total,2017,2223.899,52761.10700000001,8189.704,5505.732,47255.375000000015
PT,Portugal,Total,2018,1565.0,53862.0,8326.0,5668.0,48194.0
RO,Romania,Total,2016,660.0,54579.0,9194.0,4177.0,50402.0
RO,Romania,Total,2017,466.424,55995.380000000005,7735.38,4841.754,51153.626000000004
RO,Romania,Total,2018,0.0,56178.0,6239.0,3695.0,52483.0
RS,Serbia,Total,2016,1029.0,33677.0,6990.0,5068.0,28609.0
RS,Serbia,Total,2017,938.05,34185.552,5724.139,6549.189,27636.363000000005
RS,Serbia,Total,2018,1067.938,34279.742000000006,6293.513000000001,6400.0070000000005,27879.735000000004
SE,Sweden,Total,2016,170.0,140626.0,26022.0,14287.0,126339.0
SE,Sweden,Total,2017,36.0,141498.0,30888.0,11896.0,129602.0
SE,Sweden,Total,2018,56.301,141001.49899999995,31671.103,14441.815,126559.68399999995
SI,Slovenia,Total,2016,373.0,13997.0,9535.0,8359.0,5638.0
SI,Slovenia,Total,2017,365.3,14515.916,9648.192,9132.532,5383.384
SI,Slovenia,Total,2018,252.43500000000003,14529.653000000002,9432.404,8930.238000000001,5599.415000000001
SK,Slovakia,Total,2016,334.0,27314.0,10598.0,13249.0,14065.0
SK,Slovakia,Total,2017,418.0,28302.0,12535.0,15563.0,12739.0
SK,Slovakia,Total,2018,401.0,26997.0,8746.0,12427.0,14570.0
TR,Turkey,Total,2016,0.0,266815.0,1452.0,6330.0,260485.0
TR,Turkey,Total,2017,0.0,283682.114,3303.673,2728.268,280953.846
TR,Turkey,Total,2018,0.0,288675.00599999994,3073.5800000000004,2466.0080000000003,286208.99799999996
UA,Ukraine,Total,2016,1633.0,146503.0,3830.0,77.0,146426.0
UA,Ukraine,Total,2017,1574.2,138155.59999999998,5226.0,50.0,138105.59999999998
UA,Ukraine,Total,2018,0.0,156020.2,4639.3,1587.0,154433.2
UK,United Kingdom,Total,2016,4014.34,338005.151,2272.866,20017.923,317987.228
UK,United Kingdom,Total,2017,3859.19,334340.277,3407.049,18166.98,316173.297
UK,United Kingdom,Total,2018,3390.8659999999995,333092.41399999993,2224.764,21332.415000000005,311759.99899999995
