country,country_name,year,year1,Conventional thermal,Geothermal,Hydro,Nuclear,Other,Pumped hydro power,Solar,Wind,renewable,total,renewable_rate
LU,Luxembourg,2017,2019,450.167,0,1411.286,0,0,1329.398,108.462,234.823,3083.969,3534.136,0.872623181
LV,Latvia,2017,2019,2520.383,0,4355.513,0,0,0,0.44,148.523,4504.476,7024.859,0.641219418
ME,Montenegro,2017,2019,1265,0,1003.8,0,0,0,0,95,1098.8,2363.8,0.464844742
MK,North Macedonia,2017,2019,4005.609,0,1087.024,0,0,0,23.752,110.48,1221.256,5226.865,0.233649807
MT,Malta,2017,2019,1439.156,0,0,0,0,0,155.245,0.058,155.303,1594.459,0.097401689
NL,Netherlands,2017,2019,97231.607,0,60.757,3277.664,121.865,0,2204.344,10568.797,12833.898,113465.034,0.113108837
NO,Norway,2017,2019,3233,0,142276,0,281,1157,0,2852,146285,149799,0.976541899
PL,Poland,2017,2019,137068.099,0,2999.86,0,61.73,448.193,165.463,14574.192,18187.708,155317.537,0.117100157
PT,Portugal,2017,2019,36882.017,193.007,7489.938,0,0,1699.948,991.546,12112.464,22486.903,59368.92,0.378765573
RO,Romania,2017,2019,24923.065,0,14687.531,10557.906,0,357.788,1855.674,7331.254,24232.247,59713.218,0.405810435
RS,Serbia,2017,2019,24566.923,0,9670.033,0,0,598.732,13.139,48.457,10330.361,34897.284,0.29602192
SE,Sweden,2017,2019,15003,0,64676,63008,0,25,230,17609,82540,160551,0.514104552
SI,Slovenia,2017,2019,5054.64,0,4085.015,5967.827,0,271.498,283.678,5.716,4645.907,15668.374,0.296514941
SK,Slovakia,2017,2019,6417,0,4620,14016,127,299,506,6,5431,25991,0.208956947
TR,Turkey,2017,2019,199910.043,5101.487,57823.851,0,811.134,0,2817.837,17793.167,83536.342,284257.519,0.293875576
UA,Ukraine,2017,2019,54041.9,0,8812,80295.3,45,1559,737.6,974,12082.6,146464.8,0.082494907
AL,Albania,2018,2020,0,0,8596.537,0,0,0,0,0,8596.537,8596.537,1
AT,Austria,2018,2020,16350.754,0,37217.295,0,6162.686,13397.582,0,5857.059,56471.936,78985.376,0.714966983
BA,Bosnia & Herzegovina,2018,2020,4003.505,0,3476.554,0,0,0,0,22.368,3498.922,7502.427,0.466372015
BE,Belgium,2018,2020,30092.635,0,1239.248,26995.628,218.509,983.19,3488.979,7177.346,12888.763,70195.535,0.183612291
BG,Bulgaria,2018,2020,19334,0,4690,15290,22,987,1043,1326,8046,42692,0.188466223
CY,Cyprus,2018,2020,4380.143,0,0,0,0,0,190.329,220.613,410.942,4791.085,0.085772221
CZ,Czechia,2018,2020,48042.915,0,2650.153,28255.421,100.826,1037.317,2317.645,600.67,6605.785,83004.947,0.079583028
DE,Germany,2018,2020,320437.701,165.25,20041.878,72274.133,522.751,6661.083,46184,112174,185226.211,578460.796,0.320205297
DK,Denmark,2018,2020,14072.337,0,14.929,0,0.044,0,952.973,13898.806,14866.708,28939.089,0.513724119
EE,Estonia,2018,2020,10170.043,0,18.2,0,0,0,0,645.9,664.1,10834.143,0.061296957
EL,Greece,2018,2020,34803.244,0,5802.417,0,10.99,636.1,3792.038,6300.26,16530.815,51345.049,0.321955385
ES,Spain,2018,2020,110084.238,0,36083.636,53270.8,0,2009.408,12137.315,49495.207,99725.566,263080.604,0.379068485
FI,Finland,2018,2020,26425,0,13158.674,21890,0,0,89,5861,19108.674,67423.674,0.283411936
FR,France,2018,2020,53956.44,84.084,68706.552,393153.254,0,9082.043,9651.478,26134.02,113658.177,560767.871,0.202683112
GE,Georgia,2018,2020,2114.901,0,9949.387,0,0,0,0,84.226,10033.613,12148.514,0.825912782
HR,Croatia,2018,2020,4155.654,0,7681.337,0,0,583.988,69.193,1350.356,9684.874,13840.528,0.699747437
HU,Hungary,2018,2020,13489.644,6.047,215.862,14854.662,0,0,594.258,589.406,1405.573,29749.879,0.047246343
IE,Ireland,2018,2020,19963.734,0,921.979,0,0,234.936,0,8349.172,9506.087,29469.821,0.322570232
IT,Italy,2018,2020,185046,5708,49275,0,0,1632,22887,17318,96820,281866,0.343496555
LT,Lithuania,2018,2020,802.835,0,940.677,0,223.212,513.684,80.014,1136.357,2670.732,3696.779,0.72244838
LU,Luxembourg,2018,2020,463.132,0,1326.329,0,0,1237.554,111.693,263.708,2939.284,3402.416,0.86388143
LV,Latvia,2018,2020,3962,0,2418,0,0,0,0,120,2538,6500,0.390461538
ME,Montenegro,2018,2020,1444,0,2137,0,0,0,0,162,2299,3743,0.614213198
MK,North Macedonia,2018,2020,3309.114,0,1774.496,0,0,0,22.788,97.338,1894.622,5203.736,0.364088801
MT,Malta,2018,2020,1716.49,0,0,0,0,0,0,0,0,1716.49,0
NL,Netherlands,2018,2020,94450,0,86,3313.371,0,0,2423,12279,14788,112551.371,0.131388893
NO,Norway,2018,2020,3457.28,0,139512.026,0,0,3490.918,0,3875.881,146878.825,150336.105,0.977002996
PL,Poland,2018,2020,138957.387,0,2353.336,0,0,402.36,298.432,12487.345,15541.473,154498.86,0.1005928
PT,Portugal,2018,2020,30887,205,13489,0,0,3120,974,12530,30318,61205,0.495351687
RO,Romania,2018,2020,22611,0,17653,10443,0,0,1754,6261,25668,58722,0.437110453
RS,Serbia,2018,2020,23625.089,0,11453.07,0,0,1147.848,12.608,150.419,12763.945,36389.034,0.350763502
SE,Sweden,2018,2020,14869.986,0,60977.602,65801.155,0,0,0,16638.345,77615.947,158287.088,0.4903492
SI,Slovenia,2018,2020,4703.068,0,4831.147,5489.906,0,187.919,254.113,6.02,5279.199,15472.173,0.341206048
SK,Slovakia,2018,2020,5426,0,3838,13807,55,293,586,5,4722,24010,0.196668055
TR,Turkey,2018,2020,195153.546,6275.373,59865.351,0,703.126,0,7459.485,19825.697,93425.906,289282.578,0.32295725
UA,Ukraine,2018,2020,60830.7,0,11920.2,84397.9,0,0,737.8,1185.9,13843.9,159072.5,0.08702887
