country,country_name,type,level,year,amount
DE,Germany,Total net production,Total,2017,619059.0
DE,Germany,Total net production,Total,2018,571799.7130000001
DK,Denmark,Energy absorbed by pumping,Total,2016,0.0
DK,Denmark,Energy absorbed by pumping,Total,2017,0.0
DK,Denmark,Energy absorbed by pumping,Total,2018,0.0
DK,Denmark,Energy supplied,Total,2016,34135.025
DK,Denmark,Energy supplied,Total,2017,34216.397
DK,Denmark,Energy supplied,Total,2018,34163.43200000001
DK,Denmark,Exports,Total,2016,9919.365
DK,Denmark,Exports,Total,2017,10655.394
DK,Denmark,Exports,Total,2018,10409.265999999998
DK,Denmark,Imports,Total,2016,14976.458
DK,Denmark,Imports,Total,2017,15218.109
DK,Denmark,Imports,Total,2018,15633.609
DK,Denmark,Total net production,Total,2016,29077.932
DK,Denmark,Total net production,Total,2017,29653.682
DK,Denmark,Total net production,Total,2018,28939.089
EE,Estonia,Energy absorbed by pumping,Total,2016,0.0
EE,Estonia,Energy absorbed by pumping,Total,2017,0.0
EE,Estonia,Energy absorbed by pumping,Total,2018,0.0
EE,Estonia,Energy supplied,Total,2016,8387.0
EE,Estonia,Energy supplied,Total,2017,8500.0
EE,Estonia,Energy supplied,Total,2018,8937.443
EE,Estonia,Exports,Total,2016,5614.0
EE,Estonia,Exports,Total,2017,5015.0
EE,Estonia,Exports,Total,2018,4949.7
EE,Estonia,Imports,Total,2016,3577.0
EE,Estonia,Imports,Total,2017,2281.0
EE,Estonia,Imports,Total,2018,3053.0
EE,Estonia,Total net production,Total,2016,10424.0
EE,Estonia,Total net production,Total,2017,11234.0
EE,Estonia,Total net production,Total,2018,10834.142999999998
EL,Greece,Energy absorbed by pumping,Total,2016,32.0
EL,Greece,Energy absorbed by pumping,Total,2017,110.0
EL,Greece,Energy absorbed by pumping,Total,2018,28.49
EL,Greece,Energy supplied,Total,2016,58991.0
EL,Greece,Energy supplied,Total,2017,56716.215
EL,Greece,Energy supplied,Total,2018,57199.33900000001
EL,Greece,Exports,Total,2016,1037.0
EL,Greece,Exports,Total,2017,2459.0
EL,Greece,Exports,Total,2018,2186.68
EL,Greece,Imports,Total,2016,9833.0
EL,Greece,Imports,Total,2017,8696.0
EL,Greece,Imports,Total,2018,8705.56
EL,Greece,Total net production,Total,2016,50227.0
EL,Greece,Total net production,Total,2017,50589.215
EL,Greece,Total net production,Total,2018,50708.94900000001
ES,Spain,Energy absorbed by pumping,Total,2016,4819.0
ES,Spain,Energy absorbed by pumping,Total,2017,3675.0
ES,Spain,Energy absorbed by pumping,Total,2018,3197.636
ES,Spain,Energy supplied,Total,2016,267192.0
ES,Spain,Energy supplied,Total,2017,270412.0
ES,Spain,Energy supplied,Total,2018,268975.67000000004
ES,Spain,Exports,Total,2016,14178.0
ES,Spain,Exports,Total,2017,14593.0
ES,Spain,Exports,Total,2018,12915.79
ES,Spain,Imports,Total,2016,21845.0
ES,Spain,Imports,Total,2017,23762.0
ES,Spain,Imports,Total,2018,24017.905
ES,Spain,Total net production,Total,2016,264344.0
ES,Spain,Total net production,Total,2017,264918.0
ES,Spain,Total net production,Total,2018,261071.19100000005
FI,Finland,Energy absorbed by pumping,Total,2016,0.0
FI,Finland,Energy absorbed by pumping,Total,2017,0.0
FI,Finland,Energy absorbed by pumping,Total,2018,0.0
FI,Finland,Energy supplied,Total,2016,85151.0
FI,Finland,Energy supplied,Total,2017,85463.0
FI,Finland,Energy supplied,Total,2018,87360.674
FI,Finland,Exports,Total,2016,3159.0
FI,Finland,Exports,Total,2017,1779.0
FI,Finland,Exports,Total,2018,2611.0
FI,Finland,Imports,Total,2016,22110.0
FI,Finland,Imports,Total,2017,22204.0
FI,Finland,Imports,Total,2018,22548.0
FI,Finland,Total net production,Total,2016,66200.0
FI,Finland,Total net production,Total,2017,65038.0
FI,Finland,Total net production,Total,2018,67423.674
FR,France,Energy absorbed by pumping,Total,2016,6723.585
FR,France,Energy absorbed by pumping,Total,2017,7104.325000000001
FR,France,Energy absorbed by pumping,Total,2018,7331.316999999998
FR,France,Energy supplied,Total,2016,492543.369
FR,France,Energy supplied,Total,2017,490823.998
FR,France,Energy supplied,Total,2018,481085.6160000001
FR,France,Exports,Total,2016,61404.0
FR,France,Exports,Total,2017,61248.0
FR,France,Exports,Total,2018,76094.985
FR,France,Imports,Total,2016,19903.0
FR,France,Imports,Total,2017,21134.0
FR,France,Imports,Total,2018,12826.095
FR,France,Total net production,Total,2016,540767.954
FR,France,Total net production,Total,2017,538042.323
FR,France,Total net production,Total,2018,551685.8230000001
GE,Georgia,Energy absorbed by pumping,Total,2016,0.0
GE,Georgia,Energy absorbed by pumping,Total,2017,0.0
GE,Georgia,Energy absorbed by pumping,Total,2018,214.946
GE,Georgia,Energy supplied,Total,2016,11285.0
GE,Georgia,Energy supplied,Total,2017,12127.3
GE,Georgia,Energy supplied,Total,2018,12853.73
GE,Georgia,Exports,Total,2016,1409.0
GE,Georgia,Exports,Total,2017,939.7
GE,Georgia,Exports,Total,2018,602.0380000000001
GE,Georgia,Imports,Total,2016,1329.0
GE,Georgia,Imports,Total,2017,1751.2
GE,Georgia,Imports,Total,2018,1522.2
GE,Georgia,Total net production,Total,2016,11365.0
GE,Georgia,Total net production,Total,2017,11315.8
GE,Georgia,Total net production,Total,2018,12148.514
HR,Croatia,Energy absorbed by pumping,Total,2016,294.0
HR,Croatia,Energy absorbed by pumping,Total,2017,286.2
HR,Croatia,Energy absorbed by pumping,Total,2018,118.552
HR,Croatia,Energy supplied,Total,2016,17521.0
HR,Croatia,Energy supplied,Total,2017,18190.4
HR,Croatia,Energy supplied,Total,2018,18537.364
HR,Croatia,Exports,Total,2016,6867.0
HR,Croatia,Exports,Total,2017,5204.2
HR,Croatia,Exports,Total,2018,7292.952999999999
HR,Croatia,Imports,Total,2016,12398.0
HR,Croatia,Imports,Total,2017,12157.9
HR,Croatia,Imports,Total,2018,12692.328999999998
HR,Croatia,Total net production,Total,2016,12284.0
HR,Croatia,Total net production,Total,2017,11522.9
HR,Croatia,Total net production,Total,2018,13256.54
HU,Hungary,Energy absorbed by pumping,Total,2016,0.0
HU,Hungary,Energy absorbed by pumping,Total,2017,0.0
HU,Hungary,Energy absorbed by pumping,Total,2018,0.0
