country,country_name,type,level,year,amount
UA,Ukraine,Total net production,Total,2017,144905.8
UA,Ukraine,Total net production,Total,2018,159072.5
UK,United Kingdom,Energy absorbed by pumping,Total,2016,4014.34
UK,United Kingdom,Energy absorbed by pumping,Total,2017,3859.19
UK,United Kingdom,Energy absorbed by pumping,Total,2018,3390.8659999999995
UK,United Kingdom,Energy supplied,Total,2016,338005.151
UK,United Kingdom,Energy supplied,Total,2017,334340.277
UK,United Kingdom,Energy supplied,Total,2018,333092.41399999993
UK,United Kingdom,Exports,Total,2016,2272.866
UK,United Kingdom,Exports,Total,2017,3407.049
UK,United Kingdom,Exports,Total,2018,2224.764
UK,United Kingdom,Imports,Total,2016,20017.923
UK,United Kingdom,Imports,Total,2017,18166.98
UK,United Kingdom,Imports,Total,2018,21332.415000000005
UK,United Kingdom,Total net production,Total,2016,324274.434
UK,United Kingdom,Total net production,Total,2017,323439.536
UK,United Kingdom,Total net production,Total,2018,317375.629
