country,country_name,type,year,value,ratio
LV,Latvia,Other,2016,0.0,0.0
LT,Lithuania,Conventional thermal,2016,1566.0,0.3383751080380294
LT,Lithuania,Nuclear,2016,0.0,0.0
LT,Lithuania,Hydro,2016,1027.0,0.22191011235955055
LT,Lithuania,Pumped hydro power,2016,577.0,0.12467588591184096
LT,Lithuania,Wind,2016,1130.0,0.24416594641313744
LT,Lithuania,Solar,2016,66.0,0.014261019878997408
LT,Lithuania,Geothermal,2016,0.0,0.0
LT,Lithuania,Other,2016,262.0,0.05661192739844425
LU,Luxembourg,Conventional thermal,2016,449.564,0.1258452052804353
LU,Luxembourg,Nuclear,2016,0.0,0.0
LU,Luxembourg,Hydro,2016,1516.352,0.4244682152427655
LU,Luxembourg,Pumped hydro power,2016,1404.667,0.39320454254711945
LU,Luxembourg,Wind,2016,101.486,0.02840869487568012
LU,Luxembourg,Solar,2016,100.288,0.028073342053999643
LU,Luxembourg,Geothermal,2016,0.0,0.0
LU,Luxembourg,Other,2016,0.0,0.0
HU,Hungary,Conventional thermal,2016,13156.0,0.44524164072018413
HU,Hungary,Nuclear,2016,15162.0,0.5131311763909571
HU,Hungary,Hydro,2016,253.0,0.008562339244618924
HU,Hungary,Pumped hydro power,2016,0.0,0.0
HU,Hungary,Wind,2016,665.0,0.022505753350480575
HU,Hungary,Solar,2016,241.0,0.008156220387166645
HU,Hungary,Geothermal,2016,0.0,0.0
HU,Hungary,Other,2016,71.0,0.0024028699065926627
MT,Malta,Conventional thermal,2016,680.0,0.8424599831508004
MT,Malta,Nuclear,2016,0.0,0.0
MT,Malta,Hydro,2016,0.0,0.0
MT,Malta,Pumped hydro power,2016,0.0,0.0
MT,Malta,Wind,2016,0.0,0.0
MT,Malta,Solar,2016,127.16,0.15754001684919966
MT,Malta,Geothermal,2016,0.0,0.0
MT,Malta,Other,2016,0.0,0.0
NL,Netherlands,Conventional thermal,2016,97271.8,0.8760679655847388
NL,Netherlands,Nuclear,2016,3750.0,0.0337739701634263
NL,Netherlands,Hydro,2016,100.079,0.0009013507093294774
NL,Netherlands,Pumped hydro power,2016,0.0,0.0
NL,Netherlands,Wind,2016,8170.462,0.07358638394917556
NL,Netherlands,Solar,2016,1601.811,0.014426537845719477
NL,Netherlands,Geothermal,2016,0.0,0.0
NL,Netherlands,Other,2016,138.101,0.0012437917476104893
AT,Austria,Conventional thermal,2016,18065.01,0.2666629527246923
AT,Austria,Nuclear,2016,0.0,0.0
AT,Austria,Hydro,2016,40772.188,0.6018503195473608
AT,Austria,Pumped hydro power,2016,2883.861,0.042569524705914026
AT,Austria,Wind,2016,4968.262,0.07333798402712677
AT,Austria,Solar,2016,1040.698,0.015362050813959246
AT,Austria,Geothermal,2016,0.02,2.9522591210820515e-07
AT,Austria,Other,2016,14.692,0.0002168729550346875
PL,Poland,Conventional thermal,2016,136945.0,0.898135456495078
PL,Poland,Nuclear,2016,0.0,0.0
PL,Poland,Hydro,2016,2591.0,0.016992726771906583
PL,Poland,Pumped hydro power,2016,474.0,0.0031086655692333927
PL,Poland,Wind,2016,12279.0,0.08053017832197643
PL,Poland,Solar,2016,124.0,0.0008132374062973432
PL,Poland,Geothermal,2016,0.0,0.0
PL,Poland,Other,2016,64.0,0.0004197354355083062
PT,Portugal,Conventional thermal,2016,28702.0,0.477983865321726
PT,Portugal,Nuclear,2016,0.0,0.0
PT,Portugal,Hydro,2016,16794.113,0.27967789862691966
PT,Portugal,Pumped hydro power,2016,1186.0,0.01975084887016818
PT,Portugal,Wind,2016,12343.336,0.20555764240278768
PT,Portugal,Solar,2016,870.6030000000001,0.014498438683739482
PT,Portugal,Geothermal,2016,152.0,0.002531306094658991
PT,Portugal,Other,2016,0.0,0.0
RO,Romania,Conventional thermal,2016,23304.0,0.38352286753451936
RO,Romania,Nuclear,2016,10366.0,0.17059723845103106
RO,Romania,Hydro,2016,18239.0,0.3001662195744121
RO,Romania,Pumped hydro power,2016,507.0,0.008343893487813307
RO,Romania,Wind,2016,6527.0,0.10741734279084311
RO,Romania,Solar,2016,1820.0,0.029952438161381104
RO,Romania,Geothermal,2016,0.0,0.0
RO,Romania,Other,2016,0.0,0.0
SI,Slovenia,Conventional thermal,2016,5121.0,0.32362234580384225
SI,Slovenia,Nuclear,2016,5431.0,0.3432128412537917
SI,Slovenia,Hydro,2016,4721.0,0.2983442871587462
SI,Slovenia,Pumped hydro power,2016,278.0,0.017568250758341758
SI,Slovenia,Wind,2016,6.0,0.00037917087967644087
SI,Slovenia,Solar,2016,267.0,0.016873104145601617
SI,Slovenia,Geothermal,2016,0.0,0.0
SI,Slovenia,Other,2016,0.0,0.0
SK,Slovakia,Conventional thermal,2016,6065.0,0.24025511012517825
SK,Slovakia,Nuclear,2016,13732.0,0.5439708445571225
SK,Slovakia,Hydro,2016,4549.0,0.18020123593725243
SK,Slovakia,Pumped hydro power,2016,247.0,0.009784503248296625
SK,Slovakia,Wind,2016,6.0,0.00023768024084931072
SK,Slovakia,Solar,2016,533.0,0.02111392806211377
SK,Slovakia,Geothermal,2016,0.0,0.0
SK,Slovakia,Other,2016,112.0,0.004436697829187134
FI,Finland,Conventional thermal,2016,24950.0,0.3768882175226586
FI,Finland,Nuclear,2016,22280.0,0.3365558912386707
FI,Finland,Hydro,2016,15634.0,0.23616314199395771
FI,Finland,Pumped hydro power,2016,0.0,0.0
FI,Finland,Wind,2016,3068.0,0.04634441087613293
FI,Finland,Solar,2016,19.0,0.00028700906344410876
FI,Finland,Geothermal,2016,0.0,0.0
FI,Finland,Other,2016,249.0,0.0037613293051359515
SE,Sweden,Conventional thermal,2016,14621.0,0.09578119882083197
SE,Sweden,Nuclear,2016,60524.0,0.3964886996396987
SE,Sweden,Hydro,2016,61764.0,0.40461185718964954
SE,Sweden,Pumped hydro power,2016,119.0,0.0007795610874549623
SE,Sweden,Wind,2016,15479.0,0.10140189977071733
SE,Sweden,Solar,2016,143.0,0.0009367834916475597
SE,Sweden,Geothermal,2016,0.0,0.0
SE,Sweden,Other,2016,0.0,0.0
NO,Norway,Conventional thermal,2016,3212.0,0.02140391561046473
NO,Norway,Nuclear,2016,0.0,0.0
NO,Norway,Hydro,2016,143442.0,0.9558594218543841
NO,Norway,Pumped hydro power,2016,999.0,0.006657070888808924
NO,Norway,Wind,2016,2116.0,0.014100462463182866
NO,Norway,Solar,2016,0.0,0.0
NO,Norway,Geothermal,2016,0.0,0.0
