country,country_name,year,Conventional thermal,Nuclear,Hydro,Pumped hydro power,Wind,Solar,Geothermal,Other,total,renewable,renewable rate,major generation,Total net production,Imports,Exports,Energy absorbed by pumping,Energy supplied,sum,import rate,export rate,dependence
FR,France,2018,53956.44,393153.254,68706.552,9082.043,26134.02,9651.478,84.084,0,560767.871,113658.177,20.26831116,Nuclear,551685.823,12826.095,76094.985,7331.317,481085.616,564511.918,2.272068063,13.47978361,-11.20771555
HR,Croatia,2016,4241,0,6967,205,1010,66,0,0,12489,8248,66.04211706,renewable,12284,12398,6867,294,17521,24682,50.23093753,27.8218945,22.40904303
HR,Croatia,2017,4808,0,5437.8,200.3,1198.4,78.7,0,0,11723.2,6915.2,58.98730722,renewable,11522.9,12157.9,5204.2,286.2,18190.4,23680.8,51.34074862,21.9764535,29.36429513
HR,Croatia,2018,4155.654,0,7681.337,583.988,1350.356,69.193,0,0,13840.528,9684.874,69.97474374,renewable,13256.54,12692.329,7292.953,118.552,18537.364,25948.869,48.91284086,28.10509005,20.80775081
IT,Italy,2016,190121,0,43784.622,1825.204,17523,21757,5867,650,281527.826,90756.826,32.2372489,Conventional thermal,279702.622,43181,6154,2468,314261.622,322883.622,13.37354919,1.905949878,11.46759931
IT,Italy,2017,199722.444,0,37556.721,1825.96,17565.332,24016.821,5821.46,582.871,287091.609,86786.294,30.22947773,Conventional thermal,285265.649,42894.881,5134.231,2478.162,320548.137,328160.53,13.07131025,1.564548607,11.50676164
IT,Italy,2018,185046,0,49275,1632,17318,22887,5708,0,281866,96820,34.34965551,Conventional thermal,280234,47179,3270,2233,321910,327413,14.40962943,0.998738596,13.41089083
CY,Cyprus,2016,4295,0,0,0,226.701,145.937,0,0,4667.638,372.638,7.983438304,Conventional thermal,4667.638,0,0,0,4667.638,4667.638,0,0,0
CY,Cyprus,2017,4394.819,0,0,0,211.448,172.013,0,0,4778.28,383.461,8.02508434,Conventional thermal,4778.28,0,0,0,4778.28,4778.28,0,0,0
CY,Cyprus,2018,4380.143,0,0,0,220.613,190.329,0,0,4791.085,410.942,8.57722207,Conventional thermal,4791.085,0,0,0,4791.085,4791.085,0,0,0
LV,Latvia,2016,3277,0,2523,0,127,0,0,0,5927,2650,44.7106462,Conventional thermal,5927,4828,3795,0,6960,10755,44.89074849,35.28591353,9.60483496
LV,Latvia,2017,2520.383,0,4355.513,0,148.523,0.44,0,0,7024.859,4504.476,64.12194181,renewable,7024.859,4072.912,4137.077,0,6960.694,11097.771,36.70027071,37.27844988,-0.578179168
LV,Latvia,2018,3962,0,2418,0,120,0,0,0,6500,2538,39.04615385,Conventional thermal,6500,5172,4264,0,7408,11672,44.31117204,36.53187114,7.779300891
LT,Lithuania,2016,1566,0,1027,577,1130,66,0,262,4628,2800,60.50129646,renewable,4051,11106,2831,790,11536,15157,73.27307515,18.67783862,54.59523652
LT,Lithuania,2017,1165.3,0,1164.6,567.5,1356.2,67,0,243,4563.6,3155.3,69.14059076,renewable,3996.1,11926.2,3249,799.1,11874.2,15922.3,74.90249524,20.40534345,54.49715179
LT,Lithuania,2018,802.835,0,940.677,513.684,1136.357,80.014,0,223.212,3696.779,2670.732,72.24483801,renewable,3183.095,12847.483,3215.07,726.32,12089.188,16030.578,80.1436043,20.05585825,60.08774606
LU,Luxembourg,2016,449.564,0,1516.352,1404.667,101.486,100.288,0,0,3572.357,3122.793,87.41547947,renewable,2167.69,7718.393,1419.691,1942.514,6523.878,9886.083,78.07331781,14.36050051,63.7128173
LU,Luxembourg,2017,450.167,0,1411.286,1329.398,234.823,108.462,0,0,3534.136,3083.969,87.26231815,renewable,2204.738,7566.69,1388.648,1833.679,6549.101,9771.428,77.43689049,14.21131077,63.22557972
LU,Luxembourg,2018,463.132,0,1326.329,1237.554,263.708,111.693,0,0,3402.416,2939.284,86.38814301,renewable,2164.862,7553.012,1391.674,1717.5,6608.7,9717.874,77.72288466,14.32076604,63.40211861
HU,Hungary,2016,13156,15162,253,0,665,241,0,71,29548,1159,3.922431298,Nuclear,29548,17951,5240,0,42259,47499,37.79237458,11.0318112,26.76056338
HU,Hungary,2017,14096,15206,214,0,737,346,1,76,30676,1298,4.231320902,Nuclear,30676,19803,6925,0,43554,50479,39.23017492,13.71857604,25.51159888
HU,Hungary,2018,13489.644,14854.662,215.862,0,589.406,594.258,6.047,0,29749.879,1405.573,4.724634342,Nuclear,29749.879,18613.295,4265.07,0,44098.104,48363.174,38.48650421,8.818838069,29.66766615
MT,Malta,2016,680,0,0,0,0,127.16,0,0,807.16,127.16,15.75400168,Conventional thermal,807.16,1525,0,0,2332.16,2332.16,65.3900247,0,65.3900247
MT,Malta,2017,1439.156,0,0,0,0.058,155.245,0,0,1594.459,155.303,9.740168922,Conventional thermal,1594.459,897.066,35.699,0,2455.826,2491.525,36.00469592,1.43281725,34.57187867
MT,Malta,2018,1716.49,0,0,0,0,0,0,0,1716.49,0,0,Conventional thermal,1888.398,631.293,10.551,0,2509.14,2519.691,25.05438167,0.418741822,24.63563985
