country,country_name,type,year,value,ratio,conventional_thermal,renewable_rate
LU,Luxembourg,Pumped hydro power,2016,1404.667,0.393204543,0.125845205,0.874154795
LU,Luxembourg,Wind,2016,101.486,0.028408695,0.125845205,0.874154795
LU,Luxembourg,Solar,2016,100.288,0.028073342,0.125845205,0.874154795
LU,Luxembourg,Geothermal,2016,0,0,0.125845205,0.874154795
LU,Luxembourg,Other,2016,0,0,0.125845205,0.874154795
HU,Hungary,Conventional thermal,2016,13156,0.445241641,0.445241641,0.039224313
HU,Hungary,Nuclear,2016,15162,0.513131176,0.445241641,0.039224313
HU,Hungary,Hydro,2016,253,0.008562339,0.445241641,0.039224313
HU,Hungary,Pumped hydro power,2016,0,0,0.445241641,0.039224313
HU,Hungary,Wind,2016,665,0.022505753,0.445241641,0.039224313
HU,Hungary,Solar,2016,241,0.00815622,0.445241641,0.039224313
HU,Hungary,Geothermal,2016,0,0,0.445241641,0.039224313
HU,Hungary,Other,2016,71,0.00240287,0.445241641,0.039224313
MT,Malta,Conventional thermal,2016,680,0.842459983,0.842459983,0.157540017
MT,Malta,Nuclear,2016,0,0,0.842459983,0.157540017
MT,Malta,Hydro,2016,0,0,0.842459983,0.157540017
MT,Malta,Pumped hydro power,2016,0,0,0.842459983,0.157540017
MT,Malta,Wind,2016,0,0,0.842459983,0.157540017
MT,Malta,Solar,2016,127.16,0.157540017,0.842459983,0.157540017
MT,Malta,Geothermal,2016,0,0,0.842459983,0.157540017
MT,Malta,Other,2016,0,0,0.842459983,0.157540017
NL,Netherlands,Conventional thermal,2016,97271.8,0.876067966,0.876067966,0.088914273
NL,Netherlands,Nuclear,2016,3750,0.03377397,0.876067966,0.088914273
NL,Netherlands,Hydro,2016,100.079,0.000901351,0.876067966,0.088914273
NL,Netherlands,Pumped hydro power,2016,0,0,0.876067966,0.088914273
NL,Netherlands,Wind,2016,8170.462,0.073586384,0.876067966,0.088914273
NL,Netherlands,Solar,2016,1601.811,0.014426538,0.876067966,0.088914273
NL,Netherlands,Geothermal,2016,0,0,0.876067966,0.088914273
NL,Netherlands,Other,2016,138.101,0.001243792,0.876067966,0.088914273
AT,Austria,Conventional thermal,2016,18065.01,0.266662953,0.266662953,0.733120174
AT,Austria,Nuclear,2016,0,0,0.266662953,0.733120174
AT,Austria,Hydro,2016,40772.188,0.60185032,0.266662953,0.733120174
AT,Austria,Pumped hydro power,2016,2883.861,0.042569525,0.266662953,0.733120174
AT,Austria,Wind,2016,4968.262,0.073337984,0.266662953,0.733120174
AT,Austria,Solar,2016,1040.698,0.015362051,0.266662953,0.733120174
AT,Austria,Geothermal,2016,0.02,2.95E-07,0.266662953,0.733120174
AT,Austria,Other,2016,14.692,0.000216873,0.266662953,0.733120174
PL,Poland,Conventional thermal,2016,136945,0.898135456,0.898135456,0.101444808
PL,Poland,Nuclear,2016,0,0,0.898135456,0.101444808
PL,Poland,Hydro,2016,2591,0.016992727,0.898135456,0.101444808
PL,Poland,Pumped hydro power,2016,474,0.003108666,0.898135456,0.101444808
PL,Poland,Wind,2016,12279,0.080530178,0.898135456,0.101444808
PL,Poland,Solar,2016,124,0.000813237,0.898135456,0.101444808
PL,Poland,Geothermal,2016,0,0,0.898135456,0.101444808
PL,Poland,Other,2016,64,0.000419735,0.898135456,0.101444808
PT,Portugal,Conventional thermal,2016,28702,0.477983865,0.477983865,0.522016135
PT,Portugal,Nuclear,2016,0,0,0.477983865,0.522016135
PT,Portugal,Hydro,2016,16794.113,0.279677899,0.477983865,0.522016135
PT,Portugal,Pumped hydro power,2016,1186,0.019750849,0.477983865,0.522016135
PT,Portugal,Wind,2016,12343.336,0.205557642,0.477983865,0.522016135
PT,Portugal,Solar,2016,870.603,0.014498439,0.477983865,0.522016135
PT,Portugal,Geothermal,2016,152,0.002531306,0.477983865,0.522016135
PT,Portugal,Other,2016,0,0,0.477983865,0.522016135
RO,Romania,Conventional thermal,2016,23304,0.383522868,0.383522868,0.445879894
RO,Romania,Nuclear,2016,10366,0.170597238,0.383522868,0.445879894
RO,Romania,Hydro,2016,18239,0.30016622,0.383522868,0.445879894
RO,Romania,Pumped hydro power,2016,507,0.008343893,0.383522868,0.445879894
RO,Romania,Wind,2016,6527,0.107417343,0.383522868,0.445879894
RO,Romania,Solar,2016,1820,0.029952438,0.383522868,0.445879894
RO,Romania,Geothermal,2016,0,0,0.383522868,0.445879894
RO,Romania,Other,2016,0,0,0.383522868,0.445879894
SI,Slovenia,Conventional thermal,2016,5121,0.323622346,0.323622346,0.333164813
SI,Slovenia,Nuclear,2016,5431,0.343212841,0.323622346,0.333164813
SI,Slovenia,Hydro,2016,4721,0.298344287,0.323622346,0.333164813
SI,Slovenia,Pumped hydro power,2016,278,0.017568251,0.323622346,0.333164813
SI,Slovenia,Wind,2016,6,0.000379171,0.323622346,0.333164813
SI,Slovenia,Solar,2016,267,0.016873104,0.323622346,0.333164813
SI,Slovenia,Geothermal,2016,0,0,0.323622346,0.333164813
SI,Slovenia,Other,2016,0,0,0.323622346,0.333164813
SK,Slovakia,Conventional thermal,2016,6065,0.24025511,0.24025511,0.211337347
SK,Slovakia,Nuclear,2016,13732,0.543970845,0.24025511,0.211337347
SK,Slovakia,Hydro,2016,4549,0.180201236,0.24025511,0.211337347
SK,Slovakia,Pumped hydro power,2016,247,0.009784503,0.24025511,0.211337347
SK,Slovakia,Wind,2016,6,0.00023768,0.24025511,0.211337347
SK,Slovakia,Solar,2016,533,0.021113928,0.24025511,0.211337347
SK,Slovakia,Geothermal,2016,0,0,0.24025511,0.211337347
SK,Slovakia,Other,2016,112,0.004436698,0.24025511,0.211337347
FI,Finland,Conventional thermal,2016,24950,0.376888218,0.376888218,0.282794562
FI,Finland,Nuclear,2016,22280,0.336555891,0.376888218,0.282794562
FI,Finland,Hydro,2016,15634,0.236163142,0.376888218,0.282794562
FI,Finland,Pumped hydro power,2016,0,0,0.376888218,0.282794562
FI,Finland,Wind,2016,3068,0.046344411,0.376888218,0.282794562
FI,Finland,Solar,2016,19,0.000287009,0.376888218,0.282794562
FI,Finland,Geothermal,2016,0,0,0.376888218,0.282794562
FI,Finland,Other,2016,249,0.003761329,0.376888218,0.282794562
SE,Sweden,Conventional thermal,2016,14621,0.095781199,0.095781199,0.507730102
SE,Sweden,Nuclear,2016,60524,0.3964887,0.095781199,0.507730102
SE,Sweden,Hydro,2016,61764,0.404611857,0.095781199,0.507730102
SE,Sweden,Pumped hydro power,2016,119,0.000779561,0.095781199,0.507730102
SE,Sweden,Wind,2016,15479,0.1014019,0.095781199,0.507730102
SE,Sweden,Solar,2016,143,0.000936783,0.095781199,0.507730102
SE,Sweden,Geothermal,2016,0,0,0.095781199,0.507730102
SE,Sweden,Other,2016,0,0,0.095781199,0.507730102
NO,Norway,Conventional thermal,2016,3212,0.021403916,0.021403916,0.976616955
NO,Norway,Nuclear,2016,0,0,0.021403916,0.976616955
NO,Norway,Hydro,2016,143442,0.955859422,0.021403916,0.976616955
NO,Norway,Pumped hydro power,2016,999,0.006657071,0.021403916,0.976616955
NO,Norway,Wind,2016,2116,0.014100462,0.021403916,0.976616955
NO,Norway,Solar,2016,0,0,0.021403916,0.976616955
NO,Norway,Geothermal,2016,0,0,0.021403916,0.976616955
NO,Norway,Other,2016,297,0.001979129,0.021403916,0.976616955
ME,Montenegro,Conventional thermal,2016,1216,0.402249421,0.402249421,0.597750579
ME,Montenegro,Nuclear,2016,0,0,0.402249421,0.597750579
ME,Montenegro,Hydro,2016,1807,0.597750579,0.402249421,0.597750579
ME,Montenegro,Pumped hydro power,2016,0,0,0.402249421,0.597750579
ME,Montenegro,Wind,2016,0,0,0.402249421,0.597750579
ME,Montenegro,Solar,2016,0,0,0.402249421,0.597750579
ME,Montenegro,Geothermal,2016,0,0,0.402249421,0.597750579
