,country,country_name,type,level,year,amount,difference
196,IE,Ireland,Total net production,Total,2016,29689.24,1244.152
188,IE,Ireland,Energy supplied,Total,2017,29009.829,1077.145
197,IE,Ireland,Total net production,Total,2017,30086.974,1077.145
189,IE,Ireland,Energy supplied,Total,2018,28707.828,527.058
198,IE,Ireland,Total net production,Total,2018,29234.886,527.058
202,IT,Italy,Energy supplied,Total,2016,314261.622,-34559
211,IT,Italy,Total net production,Total,2016,279702.622,-34559
203,IT,Italy,Energy supplied,Total,2017,320548.137,-35282.488
212,IT,Italy,Total net production,Total,2017,285265.649,-35282.488
204,IT,Italy,Energy supplied,Total,2018,321910,-41676
213,IT,Italy,Total net production,Total,2018,280234,-41676
217,LT,Lithuania,Energy supplied,Total,2016,11536,-7485
226,LT,Lithuania,Total net production,Total,2016,4051,-7485
218,LT,Lithuania,Energy supplied,Total,2017,11874.2,-7878.1
227,LT,Lithuania,Total net production,Total,2017,3996.1,-7878.1
219,LT,Lithuania,Energy supplied,Total,2018,12089.188,-8906.093
228,LT,Lithuania,Total net production,Total,2018,3183.095,-8906.093
232,LU,Luxembourg,Energy supplied,Total,2016,6523.878,-4356.188
241,LU,Luxembourg,Total net production,Total,2016,2167.69,-4356.188
233,LU,Luxembourg,Energy supplied,Total,2017,6549.101,-4344.363
242,LU,Luxembourg,Total net production,Total,2017,2204.738,-4344.363
234,LU,Luxembourg,Energy supplied,Total,2018,6608.7,-4443.838
243,LU,Luxembourg,Total net production,Total,2018,2164.862,-4443.838
247,LV,Latvia,Energy supplied,Total,2016,6960,-1033
256,LV,Latvia,Total net production,Total,2016,5927,-1033
248,LV,Latvia,Energy supplied,Total,2017,6960.694,64.165
257,LV,Latvia,Total net production,Total,2017,7024.859,64.165
249,LV,Latvia,Energy supplied,Total,2018,7408,-908
258,LV,Latvia,Total net production,Total,2018,6500,-908
262,ME,Montenegro,Energy supplied,Total,2016,3327,-304
271,ME,Montenegro,Total net production,Total,2016,3023,-304
263,ME,Montenegro,Energy supplied,Total,2017,3484,-1120.2
272,ME,Montenegro,Total net production,Total,2017,2363.8,-1120.2
264,ME,Montenegro,Energy supplied,Total,2018,9981,-6238
273,ME,Montenegro,Total net production,Total,2018,3743,-6238
277,MK,North Macedonia,Energy supplied,Total,2016,7315.006,-2030.753
286,MK,North Macedonia,Total net production,Total,2016,5284.253,-2030.753
278,MK,North Macedonia,Energy supplied,Total,2017,7209.41,-1982.545
287,MK,North Macedonia,Total net production,Total,2017,5226.865,-1982.545
279,MK,North Macedonia,Energy supplied,Total,2018,7123.5,-1919.764
