country,country_name,type,level,2016,2017,2018,2016_ratio,2017_ratio,2018_ratio
IE,Ireland,Other,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
EL,Greece,Conventional thermal,Level 1,35586.0,37021.751,34803.244,0.7081931978745846,0.7306952325121342,0.6778305733041563
EL,Greece,Nuclear,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
EL,Greece,Hydro,Level 1,5565.0,4039.0,5802.417,0.11074847260642003,0.07971740839909247,0.1130083058251634
EL,Greece,Pumped hydro power,Level 2,22.0,77.259,636.1,0.0004378196581026488,0.0015248544826703355,0.01238873099527084
EL,Greece,Wind,Level 1,5146.0,5536.987,6300.26,0.10240999820891958,0.10928305372108588,0.12270433318702258
EL,Greece,Solar,Level 1,3930.0,3991.477,3792.038,0.07821051165197318,0.07877945088501719,0.07385401462953127
EL,Greece,Geothermal,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
EL,Greece,Other,Level 1,0.0,0.0,10.99,0.0,0.0,0.00021404205885556756
ES,Spain,Conventional thermal,Level 1,108210.0,126885.0,110084.238,0.4041396206966096,0.47492766696485716,0.4184430031185423
ES,Spain,Nuclear,Level 1,56100.0,55540.0,53270.8,0.2095206794296257,0.20788495585158345,0.20248851184787459
ES,Spain,Hydro,Level 1,39180.0,20708.0,36083.636,0.14632834616849794,0.07750957266428862,0.13715810079256166
ES,Spain,Pumped hydro power,Level 2,3410.0,2249.0,2009.408,0.012735570710428228,0.008417955810410717,0.007637993715416587
ES,Spain,Wind,Level 1,47712.0,47929.0,49495.207,0.17819341634485386,0.17939715608589385,0.18813704335269052
ES,Spain,Solar,Level 1,13051.0,13778.0,12137.315,0.048742502446275315,0.05157074039832764,0.04613534717291436
ES,Spain,Geothermal,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
ES,Spain,Other,Level 1,91.0,78.0,0.0,0.00033986420370937505,0.000291952224638522,0.0
FR,France,Conventional thermal,Level 1,60607.854,68922.949,53956.44,0.11119471813248903,0.12702401162343085,0.09621885059816489
FR,France,Nuclear,Level 1,384008.125,379093.955,393153.254,0.7045237935657747,0.698664750202322,0.7010980377654339
FR,France,Hydro,Level 1,64879.956,54432.864,68706.552,0.11903256663514748,0.10031899171105739,0.12252226911195487
FR,France,Pumped hydro power,Level 2,4786.979,5070.791,9082.043,0.008782471997954988,0.009345395463621103,0.016195726377483562
FR,France,Wind,Level 1,21472.916,24710.749,26134.02,0.03939546914336571,0.045541557837284107,0.04660398954989345
FR,France,Solar,Level 1,8657.27,9572.843,9651.478,0.015883134510039792,0.017642613064935437,0.01721118220055799
FR,France,Geothermal,Level 1,87.93299999999999,119.937,84.084,0.00016132703113930013,0.00022104217975466237,0.0001499443965112616
FR,France,Other,Level 1,559.515,673.71,0.0,0.001026518984089085,0.0012416379175943504,0.0
HR,Croatia,Conventional thermal,Level 1,4241.0,4808.0,4155.654,0.33957882936984546,0.4101269278012829,0.3002525626189984
HR,Croatia,Nuclear,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
HR,Croatia,Hydro,Level 1,6967.0,5437.8,7681.336999999999,0.5578509087997437,0.4638494608980483,0.5549887258636376
HR,Croatia,Pumped hydro power,Level 2,205.0,200.3,583.988,0.016414444711345986,0.01708577862699604,0.042194055024490404
HR,Croatia,Wind,Level 1,1010.0,1198.4,1350.356,0.08087116662663144,0.1022246485601201,0.09756535299809373
HR,Croatia,Solar,Level 1,66.0,78.7,69.193,0.005284650492433342,0.006713184113552613,0.004999303494779968
HR,Croatia,Geothermal,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
HR,Croatia,Other,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
