country,country_name,year,Conventional thermal,Nuclear,Hydro,Pumped hydro power,Wind,Solar,Geothermal,Other,total,renewable,renewable_rate
PL,Poland,2016,136945,0,2591,474,12279,124,0,64,152477,15468,10.14448081
PL,Poland,2017,137068.099,0,2999.86,448.193,14574.192,165.463,0,61.73,155317.537,18187.708,11.71001572
PL,Poland,2018,138957.387,0,2353.336,402.36,12487.345,298.432,0,0,154498.86,15541.473,10.05928005
PT,Portugal,2016,28702,0,16794.113,1186,12343.336,870.603,152,0,60048.052,31346.052,52.20161347
PT,Portugal,2017,36882.017,0,7489.938,1699.948,12112.464,991.546,193.007,0,59368.92,22486.903,37.8765573
PT,Portugal,2018,30887,0,13489,3120,12530,974,205,0,61205,30318,49.5351687
RO,Romania,2016,23304,10366,18239,507,6527,1820,0,0,60763,27093,44.5879894
RO,Romania,2017,24923.065,10557.906,14687.531,357.788,7331.254,1855.674,0,0,59713.218,24232.247,40.58104355
RO,Romania,2018,22611,10443,17653,0,6261,1754,0,0,58722,25668,43.71104526
SI,Slovenia,2016,5121,5431,4721,278,6,267,0,0,15824,5272,33.31648129
SI,Slovenia,2017,5054.64,5967.827,4085.015,271.498,5.716,283.678,0,0,15668.374,4645.907,29.65149415
SI,Slovenia,2018,4703.068,5489.906,4831.147,187.919,6.02,254.113,0,0,15472.173,5279.199,34.12060478
SK,Slovakia,2016,6065,13732,4549,247,6,533,0,112,25244,5335,21.13373475
SK,Slovakia,2017,6417,14016,4620,299,6,506,0,127,25991,5431,20.89569466
SK,Slovakia,2018,5426,13807,3838,293,5,586,0,55,24010,4722,19.6668055
FI,Finland,2016,24950,22280,15634,0,3068,19,0,249,66200,18721,28.27945619
FI,Finland,2017,23681,21574,14610,0,4795,43,0,335,65038,19448,29.90251853
FI,Finland,2018,26425,21890,13158.674,0,5861,89,0,0,67423.674,19108.674,28.34119363
SE,Sweden,2016,14621,60524,61764,119,15479,143,0,0,152650,77505,50.77301015
SE,Sweden,2017,15003,63008,64676,25,17609,230,0,0,160551,82540,51.41045524
SE,Sweden,2018,14869.986,65801.155,60977.602,0,16638.345,0,0,0,158287.088,77615.947,49.03492002
NO,Norway,2016,3212,0,143442,999,2116,0,0,297,150066,146557,97.66169552
NO,Norway,2017,3233,0,142276,1157,2852,0,0,281,149799,146285,97.65418995
NO,Norway,2018,3457.28,0,139512.026,3490.918,3875.881,0,0,0,150336.105,146878.825,97.70029961
ME,Montenegro,2016,1216,0,1807,0,0,0,0,0,3023,1807,59.77505789
ME,Montenegro,2017,1265,0,1003.8,0,95,0,0,0,2363.8,1098.8,46.48447415
ME,Montenegro,2018,1444,0,2137,0,162,0,0,0,3743,2299,61.4213198
MK,North Macedonia,2016,3281.378,0,1869.694,0,109.482,23.699,0,0,5284.253,2002.875,37.90270829
MK,North Macedonia,2017,4005.609,0,1087.024,0,110.48,23.752,0,0,5226.865,1221.256,23.36498073
MK,North Macedonia,2018,3309.114,0,1774.496,0,97.338,22.788,0,0,5203.736,1894.622,36.40888008
AL,Albania,2016,0,0,7136,0,0,0,0,0,7136,7136,100
AL,Albania,2017,0,0,4496.607,0,0,1.2,0,0,4497.807,4497.807,100
AL,Albania,2018,0,0,8596.537,0,0,0,0,0,8596.537,8596.537,100
RS,Serbia,2016,25161,0,11429,728,26,12,0,0,37356,12195,32.64535818
RS,Serbia,2017,24566.923,0,9670.033,598.732,48.457,13.139,0,0,34897.284,10330.361,29.60219196
RS,Serbia,2018,23625.089,0,11453.07,1147.848,150.419,12.608,0,0,36389.034,12763.945,35.0763502
TR,Turkey,2016,174166,0,66686,0,15381,1013,4010,681,261937,87090,33.24845287
TR,Turkey,2017,199910.043,0,57823.851,0,17793.167,2817.837,5101.487,811.134,284257.519,83536.342,29.38755755
TR,Turkey,2018,195153.546,0,59865.351,0,19825.697,7459.485,6275.373,703.126,289282.578,93425.906,32.29572505
BA,Bosnia & Herzegovina,2016,10971,0,5614,0,0,24,0,0,16609,5638,33.94545126
BA,Bosnia & Herzegovina,2017,11250,0,3968,197,0,21,0,0,15436,4186,27.11842446
BA,Bosnia & Herzegovina,2018,4003.505,0,3476.554,0,22.368,0,0,0,7502.427,3498.922,46.63720153
UA,Ukraine,2016,65415,75931,9025,1633,949,490,0,79,153522,12097,7.879652428
UA,Ukraine,2017,54041.9,80295.3,8812,1559,974,737.6,0,45,146464.8,12082.6,8.249490663
UA,Ukraine,2018,60830.7,84397.9,11920.2,0,1185.9,737.8,0,0,159072.5,13843.9,8.702887048
