country,country_name,type,year,value,ratio,conventional_thermal,renewable_rate
IT,Italy,Nuclear,A,0,0,0.675318681,0.322372489
IT,Italy,Hydro,A,43784.622,0.155525024,0.675318681,0.322372489
IT,Italy,Pumped hydro power,A,1825.204,0.00648321,0.675318681,0.322372489
IT,Italy,Wind,A,17523,0.062242515,0.675318681,0.322372489
IT,Italy,Solar,A,21757,0.077281881,0.675318681,0.322372489
IT,Italy,Geothermal,A,5867,0.020839858,0.675318681,0.322372489
IT,Italy,Other,A,650,0.00230883,0.675318681,0.322372489
CY,Cyprus,Conventional thermal,A,4295,0.920165617,0.920165617,0.079834383
CY,Cyprus,Nuclear,A,0,0,0.920165617,0.079834383
CY,Cyprus,Hydro,A,0,0,0.920165617,0.079834383
CY,Cyprus,Pumped hydro power,A,0,0,0.920165617,0.079834383
CY,Cyprus,Wind,A,226.701,0.048568676,0.920165617,0.079834383
CY,Cyprus,Solar,A,145.937,0.031265707,0.920165617,0.079834383
CY,Cyprus,Geothermal,A,0,0,0.920165617,0.079834383
CY,Cyprus,Other,A,0,0,0.920165617,0.079834383
LV,Latvia,Conventional thermal,A,3277,0.552893538,0.552893538,0.447106462
LV,Latvia,Nuclear,A,0,0,0.552893538,0.447106462
LV,Latvia,Hydro,A,2523,0.425679096,0.552893538,0.447106462
LV,Latvia,Pumped hydro power,A,0,0,0.552893538,0.447106462
LV,Latvia,Wind,A,127,0.021427366,0.552893538,0.447106462
LV,Latvia,Solar,A,0,0,0.552893538,0.447106462
LV,Latvia,Geothermal,A,0,0,0.552893538,0.447106462
LV,Latvia,Other,A,0,0,0.552893538,0.447106462
LT,Lithuania,Conventional thermal,A,1566,0.338375108,0.338375108,0.605012965
LT,Lithuania,Nuclear,A,0,0,0.338375108,0.605012965
LT,Lithuania,Hydro,A,1027,0.221910112,0.338375108,0.605012965
LT,Lithuania,Pumped hydro power,A,577,0.124675886,0.338375108,0.605012965
LT,Lithuania,Wind,A,1130,0.244165946,0.338375108,0.605012965
LT,Lithuania,Solar,A,66,0.01426102,0.338375108,0.605012965
LT,Lithuania,Geothermal,A,0,0,0.338375108,0.605012965
LT,Lithuania,Other,A,262,0.056611927,0.338375108,0.605012965
LU,Luxembourg,Conventional thermal,A,449.564,0.125845205,0.125845205,0.874154795
LU,Luxembourg,Nuclear,A,0,0,0.125845205,0.874154795
LU,Luxembourg,Hydro,A,1516.352,0.424468215,0.125845205,0.874154795
LU,Luxembourg,Pumped hydro power,A,1404.667,0.393204543,0.125845205,0.874154795
LU,Luxembourg,Wind,A,101.486,0.028408695,0.125845205,0.874154795
LU,Luxembourg,Solar,A,100.288,0.028073342,0.125845205,0.874154795
LU,Luxembourg,Geothermal,A,0,0,0.125845205,0.874154795
LU,Luxembourg,Other,A,0,0,0.125845205,0.874154795
HU,Hungary,Conventional thermal,A,13156,0.445241641,0.445241641,0.039224313
HU,Hungary,Nuclear,A,15162,0.513131176,0.445241641,0.039224313
HU,Hungary,Hydro,A,253,0.008562339,0.445241641,0.039224313
HU,Hungary,Pumped hydro power,A,0,0,0.445241641,0.039224313
HU,Hungary,Wind,A,665,0.022505753,0.445241641,0.039224313
HU,Hungary,Solar,A,241,0.00815622,0.445241641,0.039224313
HU,Hungary,Geothermal,A,0,0,0.445241641,0.039224313
HU,Hungary,Other,A,71,0.00240287,0.445241641,0.039224313
MT,Malta,Conventional thermal,A,680,0.842459983,0.842459983,0.157540017
MT,Malta,Nuclear,A,0,0,0.842459983,0.157540017
MT,Malta,Hydro,A,0,0,0.842459983,0.157540017
MT,Malta,Pumped hydro power,A,0,0,0.842459983,0.157540017
MT,Malta,Wind,A,0,0,0.842459983,0.157540017
MT,Malta,Solar,A,127.16,0.157540017,0.842459983,0.157540017
MT,Malta,Geothermal,A,0,0,0.842459983,0.157540017
MT,Malta,Other,A,0,0,0.842459983,0.157540017
NL,Netherlands,Conventional thermal,A,97271.8,0.876067966,0.876067966,0.088914273
NL,Netherlands,Nuclear,A,3750,0.03377397,0.876067966,0.088914273
NL,Netherlands,Hydro,A,100.079,0.000901351,0.876067966,0.088914273
NL,Netherlands,Pumped hydro power,A,0,0,0.876067966,0.088914273
NL,Netherlands,Wind,A,8170.462,0.073586384,0.876067966,0.088914273
NL,Netherlands,Solar,A,1601.811,0.014426538,0.876067966,0.088914273
NL,Netherlands,Geothermal,A,0,0,0.876067966,0.088914273
NL,Netherlands,Other,A,138.101,0.001243792,0.876067966,0.088914273
AT,Austria,Conventional thermal,A,18065.01,0.266662953,0.266662953,0.733120174
AT,Austria,Nuclear,A,0,0,0.266662953,0.733120174
AT,Austria,Hydro,A,40772.188,0.60185032,0.266662953,0.733120174
AT,Austria,Pumped hydro power,A,2883.861,0.042569525,0.266662953,0.733120174
AT,Austria,Wind,A,4968.262,0.073337984,0.266662953,0.733120174
AT,Austria,Solar,A,1040.698,0.015362051,0.266662953,0.733120174
AT,Austria,Geothermal,A,0.02,2.95E-07,0.266662953,0.733120174
AT,Austria,Other,A,14.692,0.000216873,0.266662953,0.733120174
PL,Poland,Conventional thermal,A,136945,0.898135456,0.898135456,0.101444808
PL,Poland,Nuclear,A,0,0,0.898135456,0.101444808
PL,Poland,Hydro,A,2591,0.016992727,0.898135456,0.101444808
PL,Poland,Pumped hydro power,A,474,0.003108666,0.898135456,0.101444808
PL,Poland,Wind,A,12279,0.080530178,0.898135456,0.101444808
PL,Poland,Solar,A,124,0.000813237,0.898135456,0.101444808
PL,Poland,Geothermal,A,0,0,0.898135456,0.101444808
PL,Poland,Other,A,64,0.000419735,0.898135456,0.101444808
PT,Portugal,Conventional thermal,A,28702,0.477983865,0.477983865,0.522016135
PT,Portugal,Nuclear,A,0,0,0.477983865,0.522016135
PT,Portugal,Hydro,A,16794.113,0.279677899,0.477983865,0.522016135
PT,Portugal,Pumped hydro power,A,1186,0.019750849,0.477983865,0.522016135
PT,Portugal,Wind,A,12343.336,0.205557642,0.477983865,0.522016135
PT,Portugal,Solar,A,870.603,0.014498439,0.477983865,0.522016135
PT,Portugal,Geothermal,A,152,0.002531306,0.477983865,0.522016135
PT,Portugal,Other,A,0,0,0.477983865,0.522016135
RO,Romania,Conventional thermal,A,23304,0.383522868,0.383522868,0.445879894
RO,Romania,Nuclear,A,10366,0.170597238,0.383522868,0.445879894
RO,Romania,Hydro,A,18239,0.30016622,0.383522868,0.445879894
RO,Romania,Pumped hydro power,A,507,0.008343893,0.383522868,0.445879894
RO,Romania,Wind,A,6527,0.107417343,0.383522868,0.445879894
RO,Romania,Solar,A,1820,0.029952438,0.383522868,0.445879894
RO,Romania,Geothermal,A,0,0,0.383522868,0.445879894
RO,Romania,Other,A,0,0,0.383522868,0.445879894
SI,Slovenia,Conventional thermal,A,5121,0.323622346,0.323622346,0.333164813
SI,Slovenia,Nuclear,A,5431,0.343212841,0.323622346,0.333164813
SI,Slovenia,Hydro,A,4721,0.298344287,0.323622346,0.333164813
SI,Slovenia,Pumped hydro power,A,278,0.017568251,0.323622346,0.333164813
SI,Slovenia,Wind,A,6,0.000379171,0.323622346,0.333164813
SI,Slovenia,Solar,A,267,0.016873104,0.323622346,0.333164813
SI,Slovenia,Geothermal,A,0,0,0.323622346,0.333164813
SI,Slovenia,Other,A,0,0,0.323622346,0.333164813
SK,Slovakia,Conventional thermal,A,6065,0.24025511,0.24025511,0.211337347
SK,Slovakia,Nuclear,A,13732,0.543970845,0.24025511,0.211337347
SK,Slovakia,Hydro,A,4549,0.180201236,0.24025511,0.211337347
SK,Slovakia,Pumped hydro power,A,247,0.009784503,0.24025511,0.211337347
SK,Slovakia,Wind,A,6,0.00023768,0.24025511,0.211337347
SK,Slovakia,Solar,A,533,0.021113928,0.24025511,0.211337347
SK,Slovakia,Geothermal,A,0,0,0.24025511,0.211337347
SK,Slovakia,Other,A,112,0.004436698,0.24025511,0.211337347
FI,Finland,Conventional thermal,A,24950,0.376888218,0.376888218,0.282794562
FI,Finland,Nuclear,A,22280,0.336555891,0.376888218,0.282794562
FI,Finland,Hydro,A,15634,0.236163142,0.376888218,0.282794562
FI,Finland,Pumped hydro power,A,0,0,0.376888218,0.282794562
FI,Finland,Wind,A,3068,0.046344411,0.376888218,0.282794562
FI,Finland,Solar,A,19,0.000287009,0.376888218,0.282794562
FI,Finland,Geothermal,A,0,0,0.376888218,0.282794562
FI,Finland,Other,A,249,0.003761329,0.376888218,0.282794562
SE,Sweden,Conventional thermal,A,14621,0.095781199,0.095781199,0.507730102
SE,Sweden,Nuclear,A,60524,0.3964887,0.095781199,0.507730102
SE,Sweden,Hydro,A,61764,0.404611857,0.095781199,0.507730102
SE,Sweden,Pumped hydro power,A,119,0.000779561,0.095781199,0.507730102
SE,Sweden,Wind,A,15479,0.1014019,0.095781199,0.507730102
SE,Sweden,Solar,A,143,0.000936783,0.095781199,0.507730102
SE,Sweden,Geothermal,A,0,0,0.095781199,0.507730102
SE,Sweden,Other,A,0,0,0.095781199,0.507730102
NO,Norway,Conventional thermal,A,3212,0.021403916,0.021403916,0.976616955
NO,Norway,Nuclear,A,0,0,0.021403916,0.976616955
NO,Norway,Hydro,A,143442,0.955859422,0.021403916,0.976616955
NO,Norway,Pumped hydro power,A,999,0.006657071,0.021403916,0.976616955
NO,Norway,Wind,A,2116,0.014100462,0.021403916,0.976616955
NO,Norway,Solar,A,0,0,0.021403916,0.976616955
NO,Norway,Geothermal,A,0,0,0.021403916,0.976616955
NO,Norway,Other,A,297,0.001979129,0.021403916,0.976616955
ME,Montenegro,Conventional thermal,A,1216,0.402249421,0.402249421,0.597750579
ME,Montenegro,Nuclear,A,0,0,0.402249421,0.597750579
ME,Montenegro,Hydro,A,1807,0.597750579,0.402249421,0.597750579
ME,Montenegro,Pumped hydro power,A,0,0,0.402249421,0.597750579
ME,Montenegro,Wind,A,0,0,0.402249421,0.597750579
ME,Montenegro,Solar,A,0,0,0.402249421,0.597750579
ME,Montenegro,Geothermal,A,0,0,0.402249421,0.597750579
ME,Montenegro,Other,A,0,0,0.402249421,0.597750579
MK,North Macedonia,Conventional thermal,A,3281.378,0.620972917,0.620972917,0.379027083
MK,North Macedonia,Nuclear,A,0,0,0.620972917,0.379027083
MK,North Macedonia,Hydro,A,1869.694,0.35382371,0.620972917,0.379027083
MK,North Macedonia,Pumped hydro power,A,0,0,0.620972917,0.379027083
MK,North Macedonia,Wind,A,109.482,0.020718539,0.620972917,0.379027083
MK,North Macedonia,Solar,A,23.699,0.004484834,0.620972917,0.379027083
MK,North Macedonia,Geothermal,A,0,0,0.620972917,0.379027083
MK,North Macedonia,Other,A,0,0,0.620972917,0.379027083
AL,Albania,Conventional thermal,A,0,0,0,1
AL,Albania,Nuclear,A,0,0,0,1
AL,Albania,Hydro,A,7136,1,0,1
AL,Albania,Pumped hydro power,A,0,0,0,1
AL,Albania,Wind,A,0,0,0,1
AL,Albania,Solar,A,0,0,0,1
AL,Albania,Geothermal,A,0,0,0,1
AL,Albania,Other,A,0,0,0,1
RS,Serbia,Conventional thermal,A,25161,0.673546418,0.673546418,0.326453582
RS,Serbia,Nuclear,A,0,0,0.673546418,0.326453582
RS,Serbia,Hydro,A,11429,0.305948174,0.673546418,0.326453582
RS,Serbia,Pumped hydro power,A,728,0.019488168,0.673546418,0.326453582
RS,Serbia,Wind,A,26,0.000696006,0.673546418,0.326453582
RS,Serbia,Solar,A,12,0.000321234,0.673546418,0.326453582
